sta,chan,net,loction,lat,lon,rate
24945,HNZ,CE,10,34.16,-118.26,100
35078,HNZ,CE,10,35.37,-119.92,100
35110,HNZ,CE,10,35.26,-119.82,100
35342,HNZ,CE,10,35.26,-119.82,100
36014,HNZ,CE,10,35.3,-120.02,100
ADO,HHZ,CI,--,34.55,-117.43,100
AGM,HNZ,CI,--,32.84,-114.78,100
AGO,HNZ,CI,--,34.15,-118.77,100
ALP,HHZ,CI,--,34.69,-118.3,100
APL,HNZ,CI,--,35.34,-116.87,100
ARV,HHZ,CI,--,35.13,-118.83,100
AVC,HNZ,CI,--,33.33,-118.34,100
AVM,HHZ,CI,--,35.07,-116.62,100
BAC,HNZ,CI,--,33.61,-117.04,100
BAI,HNZ,CI,--,34.78,-118.77,100
BAK,HHZ,CI,--,35.34,-119.1,100
BAR,HHZ,CI,--,32.68,-116.67,100
BBR,HHZ,CI,--,34.26,-116.92,100
BBS,HHZ,CI,--,33.92,-116.98,100
BC3,HHZ,CI,--,33.66,-115.45,100
BCW,HHZ,CI,--,34.94,-119.41,100
BEL,HHZ,CI,--,34,-116,100
BFS,HHZ,CI,--,34.24,-117.66,100
BHP,HHZ,CI,--,33.99,-118.36,100
BLA2,HHZ,CI,--,34.07,-116.39,100
BLC,HHZ,CI,--,34.24,-118.67,100
BLY,HHZ,CI,--,33.75,-114.52,100
BOM,HHZ,CI,--,33.36,-115.73,100
BOR,HHZ,CI,--,33.27,-116.42,100
BRE,HHZ,CI,--,33.81,-117.98,100
BTP,HHZ,CI,--,34.68,-118.57,100
BUE,HNZ,CI,--,34.61,-120.2,100
CAC,HNZ,CI,--,34.14,-118.12,100
CAR,HHZ,CI,--,35.31,-119.85,100
CCA,HHZ,CI,--,35.15,-118.02,100
CCC,HHZ,CI,--,35.52,-117.36,100
CFD,HNZ,CI,--,34.4,-119.52,100
CFS,HNZ,CI,0,34.11,-117.28,100
CFT,HNZ,CI,--,34.04,-117.11,100
CGO,HHZ,CI,--,36.55,-117.8,100
CHF,HHZ,CI,--,34.33,-118.03,100
CHI,HNZ,CI,--,34.18,-119.22,100
CHK,HNZ,CI,--,34.07,-118.97,100
CHN,HHZ,CI,--,34,-117.68,100
CHR,HHZ,CI,--,34.73,-119.39,100
CIA,HHZ,CI,--,33.4,-118.42,100
CJM,HHZ,CI,--,34.27,-117.42,100
CJV2,HHZ,CI,--,34.53,-118.14,100
CKP,HHZ,CI,--,33.56,-114.89,100
CLC,HHZ,CI,--,35.82,-117.6,100
CLI2,HNZ,CI,--,33.12,-115.58,100
CLO,HNZ,CI,--,34.22,-119.01,100
CLT,HHZ,CI,--,34.09,-117.32,100
COA,HHZ,CI,--,32.86,-115.12,100
COK2,HNZ,CI,--,32.85,-115.73,100
CPO,HNZ,CI,--,32.64,-116.49,100
CPT2,HNZ,CI,--,33.34,-117.33,100
CRF,HNZ,CI,--,33.87,-118.04,100
CRG,HHZ,CI,--,35.24,-119.72,100
CRN,HNZ,CI,--,33.88,-117.56,100
CRR,HHZ,CI,--,32.89,-115.97,100
CSH,HHZ,CI,--,33.64,-116.6,100
CSL,HNZ,CI,--,34.5,-118.62,100
CTC,HHZ,CI,--,33.66,-115.99,100
CTW,HHZ,CI,--,33.68,-115.87,100
CVW,HNZ,CI,--,34.92,-118.94,100
CWC,HHZ,CI,--,36.44,-118.08,100
CZN,HNZ,CI,--,33.91,-116.78,100
DAN,HHZ,CI,--,34.64,-115.38,100
DAW,HHZ,CI,--,36.27,-117.59,100
DEC,HHZ,CI,--,34.25,-118.33,100
DEV,HHZ,CI,--,33.94,-116.58,100
DGR,HHZ,CI,--,33.65,-117.01,100
DJJ,HHZ,CI,--,34.11,-118.46,100
DJJB,HNZ,CI,1,34.11,-118.46,100
DLA,HHZ,CI,--,33.85,-118.1,100
DNR,HHZ,CI,--,33.57,-116.63,100
DPP,HHZ,CI,--,33,-116.94,100
DRE,HHZ,CI,--,32.81,-115.45,100
DSC,HHZ,CI,--,35.14,-116.1,100
DTC,HNZ,CI,--,34.42,-118.66,100
DTP,HHZ,CI,--,35.27,-117.85,100
DZA,HHZ,CI,--,32.61,-116.77,100
EDW2,HHZ,CI,--,34.88,-117.99,100
ELS2,HHZ,CI,--,33.65,-117.43,100
EML,HHZ,CI,--,32.89,-116.85,100
EMS,HNZ,CI,--,32.74,-114.99,100
EOC,HNZ,CI,--,34.45,-119.77,100
ERR,HHZ,CI,--,33.12,-115.82,100
ESI,HNZ,CI,--,33.67,-117.33,100
FHO,HHZ,CI,--,34.09,-116.94,100
FIG,HHZ,CI,--,34.73,-119.99,100
FMO,HNZ,CI,--,34.41,-118.92,100
FMP,HHZ,CI,--,33.71,-118.29,100
FON,HNZ,CI,--,34.1,-117.44,100
FOX2,HHZ,CI,--,34.73,-118.24,100
FRM,HNZ,CI,--,34.78,-118.97,100
FUL,HNZ,CI,--,33.87,-117.92,100
FUR,HHZ,CI,--,36.47,-116.86,100
GATR,HHZ,CI,--,34.55,-120.5,100
GCC,HNZ,CI,--,34.33,-118.32,100
GFF,HNZ,CI,--,34.92,-115.07,100
GFS,HNZ,CI,--,34.48,-120.21,100
GLA,HHZ,CI,--,33.05,-114.83,100
GMA,HHZ,CI,--,34.29,-116.38,100
GMR,HHZ,CI,--,34.78,-115.66,100
GOR,HHZ,CI,--,33.15,-117.23,100
GOU,HNZ,CI,--,34.22,-118.19,100
GR2,HHZ,CI,--,34.12,-118.3,100
GRA,HHZ,CI,--,37,-117.37,100
GSA,HNZ,CI,--,34.14,-118.13,100
GSC,HHZ,CI,--,35.3,-116.81,100
GVR,HNZ,CI,--,34.05,-118.12,100
HAR,HHZ,CI,--,35.01,-117.3,100
HAY,HHZ,CI,--,33.71,-115.64,100
HDH,HHZ,CI,--,34.78,-118.64,100
HEC,HHZ,CI,--,34.83,-116.34,100
HLL,HHZ,CI,--,34.18,-118.36,100
HLN,HNZ,CI,--,34.12,-117.22,100
HMT2,HHZ,CI,--,33.71,-117,100
HOL,HHZ,CI,--,34.46,-117.85,100
HYS,HHZ,CI,--,34.87,-117.57,100
IDO,HHZ,CI,--,33.8,-116.22,100
IDQ,HNZ,CI,--,33.77,-116.24,100
