net,sta,chan,location,lat,lon,rate
BK,PACP,HNZ,0,37.01,-121.29,100
BK,PETY,BHZ,0,40.18,-122.79,40
BK,PETY,HHZ,0,40.18,-122.79,100
BK,PETY,HNZ,0,40.18,-122.79,100
BK,PKD,BHZ,0,35.95,-120.54,40
BK,PKD,HHZ,0,35.95,-120.54,100
BK,PKD,HNZ,0,35.95,-120.54,100
BK,RAMR,BHZ,0,35.64,-120.87,40
BK,RAMR,HHZ,0,35.64,-120.87,100
BK,RAMR,HNZ,0,35.64,-120.87,100
BK,RFSB,HNZ,0,37.92,-122.34,100
BK,SAO,BHZ,0,36.76,-121.45,40
BK,SAO,HHZ,0,36.76,-121.45,100
BK,SAO,HNZ,0,36.76,-121.45,100
BK,SCCB,HNZ,0,37.29,-121.86,100
BK,SCOT,BHZ,0,41.39,-122.85,40
BK,SCOT,HHZ,0,41.39,-122.85,100
BK,SCOT,HNZ,0,41.39,-122.85,100
BK,SCZ,BHZ,0,36.6,-121.4,40
BK,SCZ,HHZ,0,36.6,-121.4,100
BK,SCZ,HNZ,0,36.6,-121.4,100
BK,SHEP,BHZ,0,41.78,-121.84,40
BK,SHEP,HHZ,0,41.78,-121.84,100
BK,SHEP,HNZ,0,41.78,-121.84,100
BK,SUTB,BHZ,0,39.23,-121.79,40
BK,SUTB,HHZ,0,39.23,-121.79,100
BK,SUTB,HNZ,0,39.23,-121.79,100
BK,TCAS,HNZ,0,35.61,-120.56,200
BK,TCHL,BHZ,0,35.69,-120.4,40
BK,TCHL,HHZ,0,35.69,-120.4,100
BK,TCHL,HNZ,0,35.69,-120.4,200
BK,THIS,BHZ,0,35.72,-120.23,40
BK,THIS,HHZ,0,35.72,-120.23,100
BK,THIS,HNZ,0,35.72,-120.23,200
BK,TRAM,BHZ,0,35.68,-120.27,40
BK,TRAM,HHZ,0,35.68,-120.27,100
BK,TRAM,HNZ,0,35.68,-120.27,200
BK,TRAY,HNZ,0,35.55,-120.13,200
BK,TRIN,BHZ,0,40.97,-122.71,40
BK,TRIN,HHZ,0,40.97,-122.71,100
BK,TRIN,HNZ,0,40.97,-122.71,100
BK,TSCN,BHZ,0,35.54,-120.35,40
BK,TSCN,HHZ,0,35.54,-120.35,100
BK,TSCN,HNZ,0,35.54,-120.35,200
BK,TSCS,HNZ,0,35.44,-120.35,200
BK,VAK,BHZ,0,37.88,-122.25,40
BK,VAK,HHZ,0,37.88,-122.25,100
BK,VAK,HNZ,0,37.88,-122.25,100
