sta,chan,net,location,lat,lon,rate
RAW,ENZ,UW,--,47.34,-121.93,100
ROSS,ENZ,UW,--,45.66,-122.66,100
RRHS,ENZ,UW,--,46.8,-123.04,100
RVW2,ENZ,UW,--,46.15,-122.74,100
SCC,ENZ,UW,--,47.75,-122.36,100
SEA,ENZ,UW,--,47.65,-122.31,100
SNI2,ENZ,UW,--,46.46,-119.66,100
SOUA,ENZ,UW,--,42.18,-122.7,100
SP2,ENZ,UW,--,47.56,-122.25,100
SQM,ENZ,UW,--,48.07,-123.05,100
STOR,ENZ,UW,--,47.19,-121.99,100
STW,ENZ,UW,--,48.15,-123.67,100
SVOH,ENZ,UW,--,48.29,-122.63,100
SWID,ENZ,UW,--,48.01,-122.41,100
TAKO,ENZ,UW,--,43.74,-124.08,100
TBPA,ENZ,UW,--,47.26,-122.37,100
TKCO,ENZ,UW,--,47.54,-122.3,100
TLW1,ENZ,UW,--,47.69,-121.69,100
TOLO,ENZ,UW,--,44.62,-123.92,100
TOLT,ENZ,UW,--,47.69,-121.69,100
TREE,ENZ,UW,--,42.73,-120.89,100
TUCA,ENZ,UW,--,46.51,-118.15,100
UMAT,ENZ,UW,--,45.29,-118.96,100
UMPQ,ENZ,UW,--,43.29,-123.33,100
UWFH,ENZ,UW,--,48.55,-123.01,100
VCR,ENZ,UW,--,44.98,-120.99,100
VVHS,ENZ,UW,--,47.42,-122.46,100
WA2,ENZ,UW,--,46.76,-119.57,100
WAT2,ENZ,UW,--,47.62,-120.11,100
WEL2,ENZ,UW,--,47.95,-119.86,100
WISC,ENZ,UW,--,47.61,-122.18,100
WISH,ENZ,UW,--,47.12,-123.77,100
WOLL,ENZ,UW,--,47.06,-118.92,100
WPO,ENZ,UW,--,45.57,-122.79,100
YACT,ENZ,UW,--,45.93,-122.42,100
YPT,ENZ,UW,--,46.05,-118.96,100
CARM,HNZ,UO,--,44.3,-122.04,200
COQI,HNZ,UO,--,43.19,-124.18,200
EOLA,HNZ,UO,--,44.94,-123.1,200
ETON,HNZ,UO,--,43.64,-123.58,200
FALZ,HNZ,UO,--,44.87,-123.43,200
HAGG,HNZ,UO,--,45.48,-123.2,200
HAPY,HNZ,UO,--,45.45,-122.55,200
JEFF,HNZ,UO,--,44.73,-123.01,200
KVCS,HNZ,UO,--,44.69,-123.43,200
LEAB,HNZ,UO,--,44.12,-122.63,200
LOST,HNZ,UO,--,42.02,-121.5,200
NOMA,HNZ,UO,--,45.21,-122.8,200
ROXY,HNZ,UO,--,42.35,-122.79,200
RUCH,HNZ,UO,--,42.22,-123.05,200
TRIG,HNZ,UO,--,44.19,-123.55,200
WILL,HNZ,UO,--,45.08,-123.48,200
YANK,HNZ,UO,--,45.87,-122.89,200
ALKI,HNZ,UW,--,47.58,-122.42,200
BAND,HNZ,UW,--,43.09,-124.41,200
BEAV,HNZ,UW,--,45.53,-122.84,200
BILS,HNZ,UW,--,47.54,-124.25,200
BLN,HNZ,UW,--,48.01,-122.97,200
BNG,HNZ,UW,--,47.53,-122.3,200
BROK,HNZ,UW,--,42.08,-124.29,200
BULL,HNZ,UW,--,45.45,-122.16,200
