net,sta,chan,location,lat,lon,rate
NC,NFV,none,none,38.46769,-122.89651,
NC,NGVB,none,none,38.28043,-122.21582,
NC,NHC,none,none,38.21748,-122.35767,
NC,NHF,none,none,38.04962,-122.52331,
NC,NHM,none,none,38.15486,-121.80438,
NC,NHS,none,none,38.65652,-122.61442,
NC,NHV,none,none,38.16488,-122.71296,
NC,NLH,none,none,38.12281,-122.14922,
NC,NMI,none,none,38.07601,-122.2585,
NC,NOLB,none,none,38.04248,-122.79684,
NC,NPRB,none,none,37.99642,-123.01949,
NC,NSM,none,none,38.34878,-122.57795,
NC,NSP,none,none,38.20025,-122.4644,
NC,NTAC,none,none,37.92372,-122.59648,
NC,NTO,none,none,38.14361,-122.44969,
NC,NTR,none,none,38.24039,-122.79842,
NC,NTYB,none,none,38.38921,-122.66297,
NC,PAGB,none,none,35.73065,-120.24986,
NC,PHOB,none,none,35.86661,-120.47961,
NC,PHSB,none,none,35.82404,-121.05393,
NC,PMPB,none,none,36.2159,-120.80126,
NC,PSM,none,none,36.06881,-120.59618,
NP,1745,none,none,37.45607,-122.169449,
NP,1767,none,none,38.441,-122.705,
NP,1793,none,none,37.346,-121.808,
NP,1798,none,none,37.376,-121.844,
NP,1799,none,none,37.271,-121.986,
NP,1865,none,none,36.883,-121.391,
CE,35078,none,none,35.366,-119.924,
CE,35342,none,none,35.2607,-119.82,
CE,36014,none,none,35.3039,-120.022,
CI,ADO,none,none,34.551,-117.434,
CI,AGO,none,none,34.147,-118.767,
CI,ARV,none,none,35.127,-118.83,
CI,BAC,none,none,33.612,-117.041,
CI,BAI,none,none,34.777,-118.773,
CI,BAK,none,none,35.344,-119.104,
CI,BAR,none,none,32.68,-116.672,
CI,BBR,none,none,34.262,-116.921,
CI,BBS,none,none,33.921,-116.981,
CI,BC3,none,none,33.655,-115.454,
CI,BCW,none,none,34.94,-119.413,
CI,BEL,none,none,34.001,-115.998,
CI,BFS,none,none,34.239,-117.659,
CI,BHP,none,none,33.99,-118.362,
CI,BLA2,none,none,34.069,-116.39,
CI,BLC,none,none,34.244,-118.673,
CI,BLY,none,none,33.75,-114.524,
CI,BOM,none,none,33.365,-115.73,
CI,BOR,none,none,33.268,-116.417,
CI,BRE,none,none,33.808,-117.981,
CI,BTP,none,none,34.682,-118.574,
CI,BUE,none,none,34.613,-120.197,
CI,CAC,none,none,34.137,-118.122,
CI,CAR,none,none,35.308,-119.846,
CI,CCA,none,none,35.153,-118.016,
CI,CCC,none,none,35.525,-117.365,
CI,CFD,none,none,34.399,-119.516,
CI,CFS,none,none,34.105,-117.283,
CI,CFT,none,none,34.035,-117.112,
CI,CGO,none,none,36.55,-117.803,
CI,CHF,none,none,34.333,-118.026,
CI,CHI,none,none,34.182,-119.222,
CI,CHN,none,none,33.999,-117.68,
CI,CIA,none,none,33.402,-118.415,
CI,CJM,none,none,34.271,-117.424,
CI,CJV2,none,none,34.53,-118.144,
CI,CLC,none,none,35.816,-117.598,
CI,CLO,none,none,34.22,-119.009,
CI,CLT,none,none,34.093,-117.317,
CI,COA,none,none,32.863,-115.123,
CI,COK2,none,none,32.85,-115.728,
CI,CRG,none,none,35.242,-119.725,
CI,CRN,none,none,33.876,-117.561,
CI,CRR,none,none,32.887,-115.969,
CI,CTC,none,none,33.655,-115.99,
CI,CTW,none,none,33.677,-115.872,
CI,CVW,none,none,34.922,-118.939,
CI,CWC,none,none,36.44,-118.08,
CI,CZN,none,none,33.914,-116.784,
CI,DAN,none,none,34.638,-115.381,
CI,DEC,none,none,34.254,-118.334,
CI,DEV,none,none,33.936,-116.578,
CI,DGR,none,none,33.65,-117.01,
CI,DJJ,none,none,34.106,-118.455,
CI,DJJB,none,none,34.106,-118.455,
CI,DLA,none,none,33.848,-118.096,
CI,DNR,none,none,33.567,-116.631,
CI,DPP,none,none,32.999,-116.942,
CI,DRE,none,none,32.805,-115.447,
CI,DSC,none,none,35.142,-116.104,
