net,sta,chan,location,lat,lon,rate
CE,UG0027,none,none,39.73958,-123.81699,
CE,CE.79435,none,none,39.9233,-123.7614,
CE,UG0030,none,none,40.02613,-124.07048,
CE,CE.89101,none,none,40.33,-124.29,
CE,CE.89462,none,none,40.5036,-124.101,
CE,CE.89255,none,none,40.5922,-124.1463,
CE,CE.89781,none,none,40.7834,-124.1435,
CE,CE.89464,none,none,40.9567,-124.1164,
CE,CE.99017,none,none,41.7647,-124.1946,
CE,CE.47762,none,none,36.6973,-121.6342,
CE,CE.47567,none,none,36.8076,-121.7789,
CE,CE.47499,none,none,36.5077,-121.4427,
CE,CE.47232,none,none,36.2068,-121.1322,
CE,CE.36712,none,none,35.556,-120.7222,
CE,CE.99144,none,none,41.7928,-123.3815,
CE,CE.68034,none,none,38.5381,-122.2329,
CE,CE.67210,none,none,38.3994,-121.9223,
CE,CE.67533,none,none,38.0155,-121.6396,
CE,CE.57534,none,none,37.9119,-121.6219,
CE,CE.57202,none,none,37.63843,-121.49844,
CE,CE.97019,none,none,41.0521,-121.4016,
CE,CE.86265,none,none,40.5037,-120.558,
CE,CE.87053,none,none,40.2477,-121.1454,
CE,CE.66038,none,none,38.8509,-120.0196,
CE,CE.65398,none,none,38.7698,-119.8161,
CE,CE.65654,none,none,38.2555,-119.229,
CE,CE.55157,none,none,37.86112,-119.10269,
CE,UG0132,none,none,37.35556,-118.98956,
CE,UG0134,none,none,37.81822,-118.47589,
CE,UG0158,none,none,40.8837,-122.3822,
CE,CE.88059,none,none,40.57481,-122.38319,
CE,CE.96114,none,none,41.5526,-120.0194,
CE,CE.96142,none,none,41.2315,-120.5044,
CE,UG0165,none,none,36.8,-119.8028,
CE,CE.78521,none,none,39.21151,-122.01509,
CE,CE.57011,none,none,37.666,-121.0367,
CE,UG0179,none,none,37.7124,-121.5641,
CE,UG1032,none,none,36.5717,-121.1854,
CE,CE.57531,none,none,37.9332,-121.6956,
CE,CE.57384,none,none,37.5088,-121.9612,
CE,UG4002,none,none,38.039,-121.8986,
CE,UG4003,none,none,38.17152,-122.24818,
CE,CE.57203,none,none,37.0355,-121.5714,
CE,UG4005,none,none,37.3381,-121.7153,
CE,UG4006,none,none,37.2903,-121.764,
CE,UG4007,none,none,37.7401,-122.4334,
CE,UG4008,none,none,37.8479,-122.1615,
CE,UG4009,none,none,37.6569,-122.0616,
CE,UG4010,none,none,37.6233,-122.1303,
CE,UG4011,none,none,37.8097,-122.2806,
CE,UG4012,none,none,37.5353,-122.031,
CE,UG4013,none,none,37.9727,-122.038,
CE,UG4014,none,none,38.0005,-121.783,
CE,UG4015,none,none,38.2704,-122.2774,
CE,UG4016,none,none,38.3946,-122.3574,
CE,UG4017,none,none,39.585,-120.3697,
CE,UG4018,none,none,40.2713,-120.1187,
CE,UG4019,none,none,39.1202,-122.2232,
CE,UG4020,none,none,35.4638,-120.6508,
CE,UG4021,none,none,38.2259,-121.0268,
NC,NC.CCH1,none,none,37.74332,-122.09657,
NC,NC.CGP1,none,none,37.64545,-122.01128,
NC,NC.CMW1,none,none,37.54026,-121.88758,
NC,NC.CSU1,none,none,37.64303,-121.9402,
NC,NC.MBS1,none,none,37.761,-118.945,
NC,NC.MDP1,none,none,37.633,-119.08,
NC,NC.MMX1,none,none,37.61711,-118.95976,
NC,NS0002,none,none,38.07552,-122.68245,
NC,NS0004,none,none,38.09604,-122.94795,
NC,NS0005,none,none,38.24176,-122.92859,
NC,NS0006,none,none,38.41311,-123.06853,
NC,NS0009,none,none,38.88149,-123.0897,
NC,NC.GBL,none,none,39.11719,-123.7089,
NC,NS0013,none,none,39.07352,-123.19857,
NC,NS0018,none,none,39.55431,-123.56453,
NC,NS0021,none,none,39.94284,-123.96438,
NC,NS0022,none,none,40.05562,-123.97488,
NC,NS0023,none,none,40.02503,-123.68803,
NC,NS0026,none,none,40.02441,-123.31228,
NC,NC.KPR,none,none,40.21957,-124.05729,
NC,NC.KBU,none,none,40.24556,-123.85325,
NC,NS0035,none,none,41.05389,-124.15087,
NC,NS0038,none,none,40.79975,-123.89839,
NC,NS0039,none,none,41.00016,-123.89273,
NC,NS0040,none,none,41.15167,-123.88259,
NC,NS0044,none,none,37.60658,-121.62105,
NC,NC.PBC,none,none,36.32021,-120.95415,
NC,NS0048,none,none,36.20543,-121.29765,
NC,NC.BHW,none,none,36.38441,-121.37809,
NC,NS0054,none,none,41.72815,-123.79563,
NC,NC.GVA,none,none,39.37679,-123.11939,
NC,NS0061,none,none,39.24275,-123.02542,
NC,NC.NLB,none,none,38.74266,-122.55312,
NC,NS0065,none,none,38.60889,-122.0281,
NC,NC.CDG,none,none,37.38539,-121.28326,
NC,NC.HMP,none,none,37.18713,-121.36022,
NC,NC.HBC,none,none,37.02927,-121.07645,
NC,NS0071,none,none,36.82946,-121.19784,
NC,NS0079,none,none,36.01593,-120.294,
NC,NS0085,none,none,41.25994,-121.94905,
NC,NS0088,none,none,40.59413,-121.37962,
NC,NC.LGO,none,none,40.41866,-120.80589,
NC,NC.PBO,none,none,35.68606,-120.00296,
NC,NS0117,none,none,41.79521,-122.15534,
NC,NS0126,none,none,41.46142,-123.37802,
NC,NS0127,none,none,38.22992,-120.61397,
NC,NS0129,none,none,41.27245,-123.18876,
NC,NC.LBR,none,none,41.40942,-122.06776,
NC,NS0134,none,none,41.30258,-122.57445,
NC,NS0156,none,none,40.76772,-123.45214,
NC,NS0159,none,none,40.53086,-123.00092,
NC,NC.LTC,none,none,40.20846,-122.12546,
NC,NS0169,none,none,41.05052,-120.08685,
NC,NS0170,none,none,36.17277,-119.76013,
NC,NS0172,none,none,36.85806,-119.92017,
NC,NS0173,none,none,36.96667,-120.35764,
NC,NS0175,none,none,38.76123,-121.10539,
NC,NC.NWL,none,none,38.65738,-121.71454,
NC,NS0178,none,none,38.18325,-121.15568,
NC,NS0179,none,none,37.89625,-120.92847,
NC,NS0180,none,none,37.15992,-119.49839,
NC,NS0182,none,none,37.76136,-120.36467,
NC,NS0185,none,none,37.7952,-120.64444,
NC,NS0186,none,none,37.62443,-120.57213,
NC,NC.NMK,none,none,38.28131,-122.08304,
NC,NP.NGI,none,none,38.11932,-121.9548,
NC,NS1010,none,none,36.99932,-121.91328,
NC,NC.GSX,none,none,38.84984,-122.5226,
NC,NC.NCB,none,none,38.85143,-122.26832,
NC,NC.HMS,none,none,37.21362,-121.51362,
NC,NC.HES,none,none,36.85172,-121.74209,
NC,NS1029,none,none,37.01076,-121.70557,
NC,NC.HLB,none,none,36.98966,-120.93016,
NC,NC.BPS,none,none,36.30537,-121.8991,
NC,NC.BCC,none,none,36.54129,-121.74245,
NC,NS1041,none,none,37.53297,-121.7896,
NC,NC.BJF,none,none,36.29283,-121.40322,
NC,NC.NFR,none,none,38.52272,-123.16204,
NC,NC.GDC,none,none,38.76781,-123.23953,
NC,NC.GWW,none,none,38.83372,-123.52986,
NC,NC.GSN,none,none,38.94043,-123.19243,
NC,NC.GHO,none,none,39.04449,-123.54107,
NC,NC.GNA,none,none,39.19741,-123.63179,
NC,UG0020,none,none,39.39957,-123.55525,
NC,UG0022,none,none,39.63894,-123.42511,
NC,NC.KRK,none,none,39.56318,-123.18365,
NC,NC.KIP,none,none,39.80847,-123.48128,
NC,UG0029,none,none,39.91725,-123.59558,
NC,UG0032,none,none,40.14586,-123.4696,
NC,UG0033,none,none,39.8924,-123.19502,
NC,UG0034,none,none,40.35196,-124.35199,
NC,UG0037,none,none,40.18685,-124.17565,
NC,UG0038,none,none,40.42648,-123.82061,
NC,UG0047,none,none,40.53794,-123.51392,
NC,UG0049,none,none,41.36342,-124.0193,
NC,UG0057,none,none,37.02757,-122.17465,
NC,NC.BKC,none,none,36.5802,-121.62623,
NC,UG0066,none,none,36.22841,-121.76768,
NC,UG0068,none,none,35.89585,-121.3655,
NC,UG0072,none,none,35.79184,-121.30407,
NC,UG0073,none,none,35.6823,-121.15366,
NC,UG0074,none,none,35.51841,-121.06064,
NC,UG0075,none,none,35.45886,-120.88165,
NC,UG0078,none,none,40.34581,-123.36327,
NC,NC.GHGB,none,none,39.12816,-122.82446,
NC,UG0081,none,none,39.05222,-122.49237,
NC,NC.NWS,none,none,38.62997,-122.40125,
NC,UG0084,none,none,38.86104,-122.07399,
NC,UG0085,none,none,38.66819,-122.19465,
NC,NC.HGS,none,none,37.0955,-121.44826,
NC,NC.BCA,none,none,36.68097,-121.18772,
NC,UG0097,none,none,36.6631,-120.79291,
NC,UG0100,none,none,36.33578,-120.37001,
NC,UG0136,none,none,37.54809,-118.44333,
NC,UG0139,none,none,37.42933,-118.42891,
NC,UG0142,none,none,35.1614,-120.47517,
NC,UG0143,none,none,35.26099,-120.88619,
NC,UG0151,none,none,41.61002,-122.62552,
NC,NC.LDL,none,none,41.38136,-122.29369,
NC,UG0154,none,none,41.10699,-122.27061,
NC,UG0160,none,none,40.51219,-122.14914,
NC,NC.MBE,none,none,36.74539,-119.28285,
NC,NC.GBB,none,none,39.80128,-122.34549,
NC,UG0170,none,none,39.32656,-122.28885,
NC,NC.NMB,none,none,38.76291,-121.92942,
NC,NC.MHD,none,none,37.11709,-119.89495,
NC,UG0175,none,none,37.55974,-120.0756,
NC,NC.MNHB,none,none,38.14588,-120.8136,
NC,UG0177,none,none,37.97539,-120.62024,
NC,UG1002,none,none,38.45994,-121.97042,
NC,UG1003,none,none,36.24927,-120.34293,
NC,UG1005,none,none,41.34707,-121.89098,
NC,UG1007,none,none,38.40049,-122.10629,
NC,NC.HBH,none,none,36.88341,-121.49065,
NC,NC.BPV,none,none,36.70522,-121.25906,
NC,NC.HSFB,none,none,36.81858,-121.50345,
NC,NC.GBG,none,none,38.81436,-122.68263,
NC,UG1025,none,none,38.80577,-122.44769,
NC,NC.GPM,none,none,38.84498,-122.94637,
NC,UG1030,none,none,37.2035,-121.78468,
NC,NC.HLO,none,none,36.90247,-121.29916,
NC,NC.NSC,none,none,38.572,-122.2524,
NC,NC.NBC,none,none,38.3438,-122.834,
NC,NC.JTH,none,none,37.16036,-121.90758,
NC,NC.JPE,none,none,37.28415,-122.20929,
NC,NC.GGPC,none,none,38.76876,-122.84645,
NN,NS0003,none,none,38.1499,-122.59326,
NN,NS0046,none,none,36.3066,-121.56681,
NN,NS0056,none,none,39.8717,-120.87284,
NN,NS0084,none,none,41.47849,-121.83965,
NN,NS0091,none,none,40.30483,-120.50903,
NN,NS0095,none,none,39.04946,-120.38055,
NN,NS0096,none,none,38.90387,-120.70497,
NN,NS0097,none,none,38.84254,-120.40771,
NN,NS0098,none,none,38.62927,-120.27776,
NN,NN.QNBC,none,none,38.1947,-119.0054,
NN,NS0119,none,none,41.67819,-122.47331,
NN,NS0128,none,none,41.35931,-120.82817,
NN,NS0130,none,none,39.91684,-122.67117,
NN,NS0140,none,none,41.11625,-123.71056,
NN,NS0144,none,none,41.17484,-121.76596,
NN,NS0145,none,none,40.79135,-121.72562,
NN,NS0146,none,none,40.9316,-121.945,
NN,NS0149,none,none,40.60731,-121.70891,
NN,NS0155,none,none,38.60632,-120.57456,
NN,NS0158,none,none,40.49287,-123.20038,
NN,NS0161,none,none,41.75768,-120.52943,
NN,NS0163,none,none,41.73543,-120.24246,
NN,NS0167,none,none,41.32527,-120.13402,
NN,NS0168,none,none,41.48558,-120.36054,
NN,NS1049,none,none,36.10276,-121.4377,
NN,UG0098,none,none,36.37306,-120.81898,
NN,UG0101,none,none,36.09591,-120.37161,
NN,UG0105,none,none,41.59938,-121.57771,
NN,UG0111,none,none,40.10864,-120.29197,
NN,UG0112,none,none,39.86663,-120.35958,
NN,UG0113,none,none,39.96192,-120.65129,
NN,UG0115,none,none,39.6586,-120.2368,
NN,UG0116,none,none,39.62672,-120.66689,
NN,NN.SAG5,none,none,39.4264,-120.3119,
NN,NN.SUGR,none,none,39.3033,-120.3409,
NN,NN.MPK,none,none,39.29282,-120.03639,
NN,NN.CTC,none,none,39.2077,-120.126,
NN,NN.EMB,none,none,38.97442,-120.10289,
NN,UG0124,none,none,38.58272,-119.80729,
NN,NN.WAK,none,none,38.5043,-119.4382,
NN,NN.SJC,none,none,38.3491,-119.44,
NN,UG0128,none,none,38.05222,-119.1813,
NN,UG0130,none,none,38.0595,-118.77533,
NN,UG0131,none,none,37.8131,-118.6963,
NN,UG0133,none,none,37.63533,-118.656,
NN,UG0137,none,none,37.4869,-118.7228,
NN,UG0138,none,none,37.4435,-118.637,
NN,UG0146,none,none,37.2995,-118.48734,
NN,NN.DSP,none,none,37.36802,-117.97218,
NN,UG0148,none,none,37.3622,-118.2801,
NN,UG0149,none,none,41.49212,-122.24426,
NN,UG0150,none,none,41.6286,-122.23163,
NN,UG0155,none,none,40.79297,-122.03941,
NN,UG0156,none,none,40.64182,-121.94856,
NN,UG0161,none,none,40.43107,-121.78631,
NN,UG1004,none,none,35.86264,-119.95645,
NN,UG1033,none,none,36.77654,-121.35009,
NN,NN.BAB,none,none,39.60133,-120.104,
NN,UG3001,none,none,39.4722,-120.0398,
NN,UG3002,none,none,37.7154,-118.5741,
NP,NP.1689,none,none,37.709,-121.933,
NP,NP.1768,none,none,38.234,-122.637,
NP,NP.1784,none,none,37.456,-122.173,
NP,NP.1786,none,none,37.68,-121.74,
NP,NP.1788,none,none,37.417,-121.915,
NP,NP.1794,none,none,37.407,-122.001,
NP,NP.1801,none,none,37.451,-122.429,
NP,NP.1803,none,none,37.717,-121.727,
NP,NP.1804,none,none,37.679,-122.484,
NP,NP.1806,none,none,37.91,-122.537,
NP,NP.1813,none,none,38.034,-122.27,
NP,NP.1829,none,none,38.29,-122.461,
NP,NP.1835,none,none,38.442,-122.607,
NP,NP.1836,none,none,37.692,-122.17,
NP,NP.1846,none,none,37.942,-121.931,
NP,NP.1847,none,none,38.013,-122.134,
NP,NP.1848,none,none,38.367,-122.524,
